run,cpu_percent,execution_time_sec
0,70.5,40.305941
1,77.5,76.94902
2,86.3,59.029618
3,62.3,45.811764
4,59.2,60.152395
5,75.8,12.868105
6,82.1,23.528611
7,71.4,68.470014
8,79.9,179.723439
9,82.8,37.110951
10,95.9,174.146381
11,87.3,62.88453
12,65.2,135.179591
13,62.1,57.869069
14,86.8,174.823181
15,84.5,71.25312
16,97.6,244.070178
17,65.9,37.775535
18,72.2,96.271474
19,76.3,51.769167
20,87.1,185.313359
21,96.4,182.274009
22,94,190.649153
23,73,62.44376
24,90.8,126.717026
25,75.2,199.79573
26,75.6,43.196954
27,58.4,72.381743
28,79,45.128919
29,75.8,42.501095
30,81,217.018733
31,92.2,16.378381
32,92.1,24.89423
33,77.9,181.060977
34,85.6,95.151153
35,81.4,185.034031
36,96.5,83.099539
37,95.8,139.775857
38,59.3,55.364862
39,66.4,30.124877
