device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
Pixel 6,com-android-settings,0,4436.0,-656650.823826,-349376.27111,-349376.629694,-2912.83071307
Pixel 6,com-android-settings,1,4436.0,-656976.958181,-373783.663036,-373779.68991,-2914.29015198
Pixel 6,com-android-settings,2,4436.0,-666206.904107,-349318.309681,-349317.27903,-2955.25990179
Pixel 6,com-android-settings,3,4436.0,-678546.837686,-340216.796646,-340217.274663,-3010.07493663
Pixel 6,com-android-settings,4,4436.0,-654030.231654,-346791.60273,-346795.920957,-2901.24020275
Pixel 6,com-android-settings,5,4436.0,-654391.750995,-329188.553841,-329190.079969,-2902.86641951
Pixel 6,com-android-settings,6,4436.0,-659399.866189,-352727.081616,-352724.614656,-2925.13533762
Pixel 6,com-android-settings,7,4436.0,-662323.165649,-354646.232176,-354640.330598,-2938.05316236
Pixel 6,com-android-settings,8,4436.0,-651393.136276,-342558.98785,-342555.285206,-2889.63792097
Pixel 6,com-android-settings,9,4436.0,-666746.856865,-320594.240281,-320596.391985,-2957.70496277
Pixel 6,com-android-settings,10,4436.0,-672963.751348,-375763.514729,-375761.453766,-2985.32377378
Pixel 6,com-android-settings,11,4436.0,-669013.625298,-361460.089096,-361453.704604,-2967.70584648
Pixel 6,com-android-settings,12,4436.0,-660315.50689,-333246.533303,-333245.274054,-2929.09789063
Pixel 6,com-android-settings,13,4436.0,-664416.674265,-329056.104516,-329050.115939,-2947.41456747
Pixel 6,com-android-settings,14,4436.0,-680910.207451,-367896.884165,-367896.045246,-3020.54149924
Pixel 6,com-android-settings,15,4436.0,-678688.044939,-356648.300656,-356644.801083,-3010.68894443
Pixel 6,com-android-settings,16,4436.0,-658190.767633,-359576.420869,-359575.49843,-2919.76499997
Pixel 6,com-android-settings,17,4436.0,-670066.463101,-377979.066021,-377978.361218,-2972.42293112
Pixel 6,com-android-settings,18,4436.0,-686667.29663,-375593.161065,-375593.975625,-3045.95693042
Pixel 6,com-android-settings,19,4436.0,-653835.792278,-342753.671958,-342750.504188,-2900.40435989
