run Id,cpu_percent,execution_time_sec
0,86.7,242.624486
1,65.5,25.782474
2,94.4,75.491941
3,66.4,244.643092
4,89.2,184.717527
5,90.9,100.117152
6,66.9,136.820514
7,81.6,77.364399
8,76.7,215.013546
9,86.8,209.943353
10,69.3,230.722717
11,75,97.177788
12,71.5,230.777233
13,84.7,205.062729
14,86.8,232.170016
15,59.9,52.280934
16,86.7,101.776277
17,59.4,47.453083
18,77.9,50.319394
19,90.6,192.433004
20,80.7,143.901008
21,80.7,12.669459
22,92.7,86.532479
23,55.8,26.706551
24,83.3,80.889034
25,93.9,51.813964
26,87.2,27.427092
27,85.3,132.063116
28,73.6,153.041658
29,69.9,39.109536
30,89.5,68.949032
31,72.5,60.524592
32,84.1,63.904216
33,90.1,79.736072
34,71.8,26.731361
35,88.3,27.661098
36,90.4,50.699192
37,78.6,44.601959
38,94.9,103.671713
39,90.6,91.112247
40,64.6,78.26291
41,74.3,17.610558
42,84.3,63.389952
43,63.5,44.421394
44,89,248.607692
45,89.3,167.077727
46,85.4,19.525158
47,83.7,13.190072
48,90.7,76.784097
49,60.9,31.629878
