Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1760547936661,200000,4436
1760547936767,200000,4436
1760547936872,113281,4436
1760547936977,113281,4436
1760547937082,260937,4436
1760547937185,-729687,4436
1760547937288,-729687,4436
1760547937392,-767968,4436
1760547937498,-767968,4436
1760547937600,-1307031,4436
1760547937702,-1307031,4436
1760547937804,-1888281,4436
1760547937908,-375000,4436
1760547938013,-375000,4436
1760547938115,-1408593,4436
1760547938219,-1408593,4436
1760547938321,-1879687,4436
1760547938423,-1879687,4436
1760547938525,-1915625,4436
1760547938628,-1933593,4436
1760547938734,-1933593,4436
1760547938837,-1824218,4436
1760547938939,-1824218,4436
1760547939042,-1760156,4436
1760547939150,-1760156,4436
1760547939254,-1667968,4436
1760547939357,-1153125,4436
1760547939459,-1153125,4436
1760547939565,-1596875,4436
1760547939666,-1596875,4436
1760547939772,-2578125,4436
1760547939875,-2578125,4436
1760547939978,-1148437,4436
1760547940089,-1597656,4436
1760547940192,-1597656,4436
1760547940295,-1747656,4436
1760547940398,-1747656,4436
1760547940501,-1285937,4436
1760547940603,-1285937,4436
1760547940706,-1242968,4436
1760547940808,-1242968,4436
1760547940910,-1471875,4436
1760547941013,-1757812,4436
1760547941116,-1757812,4436
1760547941221,-1417968,4436
1760547941324,-1417968,4436
1760547941427,-1646093,4436
1760547941530,-1646093,4436
1760547941631,-1392187,4436
1760547941734,-1841406,4436
1760547941837,-1841406,4436
1760547941939,-1451562,4436
1760547942042,-1451562,4436
1760547942146,-1135156,4436
1760547942248,-1135156,4436
1760547942352,-1486718,4436
1760547942454,-1486718,4436
1760547942556,-1512500,4436
1760547942658,-1671875,4436
1760547942760,-1671875,4436
1760547942864,-1346093,4436
1760547942967,-1346093,4436
1760547943069,-1075000,4436
1760547943172,-1075000,4436
1760547943274,-1709375,4436
1760547943377,-1109375,4436
1760547943483,-1109375,4436
1760547943588,-1041406,4436
1760547943690,-1041406,4436
1760547943799,-1067187,4436
1760547943901,-1067187,4436
1760547944004,-1323437,4436
1760547944108,-1343750,4436
1760547944210,-1343750,4436
1760547944313,-1589843,4436
1760547944415,-1589843,4436
1760547944518,-1424218,4436
1760547944620,-1424218,4436
1760547944723,-1214062,4436
1760547944826,-1214062,4436
1760547944934,-1200000,4436
1760547945038,-1217187,4436
1760547945140,-1217187,4436
1760547945243,-1077343,4436
1760547945345,-1077343,4436
1760547945448,-1530468,4436
1760547945552,-1530468,4436
1760547945656,-1055468,4436
1760547945759,-856250,4436
1760547945862,-856250,4436
1760547945964,-997656,4436
1760547946071,-997656,4436
1760547946180,-1147656,4436
1760547946283,-1147656,4436
1760547946386,-1448437,4436
1760547946488,-857812,4436
1760547946591,-857812,4436
1760547946694,-1141406,4436
1760547946795,-1141406,4436
1760547946899,-939843,4436
1760547947001,-939843,4436
1760547947108,-867968,4436
1760547947210,-1285937,4436
1760547947313,-1285937,4436
1760547947415,-1212500,4436
1760547947518,-1212500,4436
1760547947620,-1428906,4436
1760547947728,-1428906,4436
1760547947833,-1032031,4436
1760547947936,-1032031,4436
1760547948038,-1521093,4436
1760547948140,-1393750,4436
1760547948243,-1393750,4436
1760547948347,-1235156,4436
1760547948451,-1235156,4436
1760547948554,-1286718,4436
1760547948660,-1286718,4436
1760547948762,-1090625,4436
1760547948865,-964062,4436
1760547948968,-964062,4436
1760547949072,-1420312,4436
1760547949174,-1420312,4436
1760547949284,-842187,4436
1760547949387,-842187,4436
1760547949489,-1032812,4436
1760547949592,-1554687,4436
1760547949695,-1554687,4436
1760547949799,-1160937,4436
1760547949905,-1160937,4436
1760547950008,-985156,4436
1760547950112,-985156,4436
1760547950214,-985156,4436
1760547950318,-1052343,4436
1760547950420,-1052343,4436
1760547950523,-1307031,4436
1760547950625,-1307031,4436
1760547950731,-889843,4436
1760547950833,-889843,4436
1760547950936,-1051562,4436
1760547951038,-1051562,4436
1760547951142,-1330468,4436
1760547951247,-707812,4436
1760547951349,-707812,4436
1760547951451,-871875,4436
1760547951554,-871875,4436
1760547951657,-1072656,4436
1760547951766,-1072656,4436
1760547951870,-1077343,4436
1760547951973,-710156,4436
1760547952078,-710156,4436
1760547952184,-1455468,4436
1760547952286,-1455468,4436
1760547952389,-834375,4436
1760547952492,-834375,4436
1760547952595,-1227343,4436
1760547952703,-1225000,4436
1760547952806,-1225000,4436
1760547952909,-1082812,4436
1760547953012,-1082812,4436
1760547953117,-607812,4436
1760547953221,-607812,4436
1760547953325,-1278125,4436
1760547953430,-883593,4436
1760547953534,-883593,4436
1760547953639,-1066406,4436
1760547953742,-1066406,4436
1760547953845,-1244531,4436
1760547953948,-1244531,4436
1760547954051,-1131250,4436
1760547954154,-939843,4436
1760547954264,-939843,4436
1760547954370,-1089843,4436
1760547954473,-1089843,4436
1760547954575,-1419531,4436
1760547954678,-1419531,4436
1760547954781,-862500,4436
1760547954886,-1275000,4436
1760547954989,-1275000,4436
1760547955095,-977343,4436
