input_size_kb,memory_usage_mb,output_size_kb,model,prompt_size
0.02734375,766.215606,1.014747,gemma-1b,small
0.0947265625,711.239588,5.826254784,gemma-1b,large
0.0947265625,637.793262,2.80378022,gemma-1b,large
0.0947265625,695.874116,1.081343779,gemma-1b,large
0.0947265625,647.954448,2.694315111,gemma-1b,large
0.0947265625,651.598459,6.010774753,gemma-1b,large
0.0947265625,681.565764,1.232421762,gemma-1b,large
0.02734375,715.682811,1.127069639,gemma-1b,small
0.02734375,671.470043,2.134373601,gemma-1b,small
0.0947265625,730.599479,7.096783866,gemma-1b,large
0.02734375,735.202252,1.57540267,gemma-1b,small
0.0947265625,741.630756,5.610954429,gemma-1b,large
0.02734375,732.815248,1.780340954,gemma-1b,small
0.02734375,644.766982,0.352179481,gemma-1b,small
0.02734375,745.406335,1.665266253,gemma-1b,small
0.0947265625,730.245879,1.221103014,gemma-1b,large
0.0947265625,664.852609,7.974337412,gemma-1b,large
0.02734375,704.027014,1.353431787,gemma-1b,small
0.0947265625,718.163704,5.917254794,gemma-1b,large
0.02734375,766.486849,0.756272792,gemma-1b,small
