energy_usage_joules,input_size_kb,memory_usage_mb,output_size_kb,model,prompt_size
1555.058383,0.0947265625,1230.047293,4.15970917,qwen-1.7b,large
643.731282,0.02734375,1169.331617,0.8886288,qwen-1.7b,small
379.150454,0.02734375,1157.898029,3.127306068,qwen-1.7b,small
1453.456499,0.0947265625,1221.076693,3.020856157,qwen-1.7b,large
420.892153,0.02734375,1180.832444,1.948864317,qwen-1.7b,small
412.803522,0.02734375,1252.600786,0.307335989,qwen-1.7b,small
570.845215,0.02734375,1288.136919,0.737493783,qwen-1.7b,small
1210.012208,0.0947265625,1193.05023,4.879246018,qwen-1.7b,large
2781.092844,0.0947265625,1333.261477,7.071059407,qwen-1.7b,large
387.492359,0.02734375,1367.45221,0.9261002,qwen-1.7b,small
549.421461,0.02734375,1276.177927,0.93041424,qwen-1.7b,small
2699.991235,0.0947265625,1218.741194,5.132064598,qwen-1.7b,large
1636.416525,0.0947265625,1152.324695,1.525964472,qwen-1.7b,large
662.751221,0.0947265625,1300.524446,5.612467593,qwen-1.7b,large
1047.361685,0.0947265625,1280.461903,2.805213798,qwen-1.7b,large
3101.585329,0.0947265625,1313.244094,3.924367475,qwen-1.7b,large
1012.289362,0.02734375,1310.803597,2.48166907,qwen-1.7b,small
831.522997,0.0947265625,1169.822062,5.569222755,qwen-1.7b,large
542.230302,0.02734375,1151.330366,3.289715432,qwen-1.7b,small
143.937831,0.02734375,1142.380341,2.748017516,qwen-1.7b,small
363.299399,0.02734375,1339.127447,1.921939399,qwen-1.7b,small
1077.986439,0.0947265625,1363.152517,7.782144987,qwen-1.7b,large
1440.253961,0.0947265625,1214.188852,1.641074513,qwen-1.7b,large
1472.190907,0.0947265625,1258.19031,7.110620851,qwen-1.7b,large
526.907436,0.02734375,1258.036032,3.376023213,qwen-1.7b,small
461.253035,0.02734375,1196.256523,1.142632204,qwen-1.7b,small
697.466076,0.02734375,1320.924798,1.57446524,qwen-1.7b,small
448.264723,0.02734375,1140.467339,3.396493811,qwen-1.7b,small
1131.332296,0.0947265625,1192.245105,5.507996803,qwen-1.7b,large
424.276917,0.02734375,1249.816153,0.17139267,qwen-1.7b,small
2166.484047,0.0947265625,1280.05705,2.818625067,qwen-1.7b,large
312.960267,0.02734375,1182.32496,0.863900758,qwen-1.7b,small
2100.569036,0.0947265625,1327.238634,1.902089072,qwen-1.7b,large
73.371162,0.02734375,1366.614085,1.583039998,qwen-1.7b,small
1266.858018,0.0947265625,1313.763084,5.783067636,qwen-1.7b,large
724.700449,0.02734375,1294.76166,2.994805433,qwen-1.7b,small
1195.353377,0.0947265625,1246.996979,1.567323511,qwen-1.7b,large
376.162967,0.02734375,1142.294662,1.206222632,qwen-1.7b,small
345.905008,0.02734375,1333.413521,1.808740865,qwen-1.7b,small
911.239974,0.02734375,1285.75485,1.995372192,qwen-1.7b,small
299.920718,0.02734375,1134.655662,2.486357895,qwen-1.7b,small
536.230294,0.02734375,1192.856717,3.335392934,qwen-1.7b,small
1652.830159,0.0947265625,1223.865576,4.917482319,qwen-1.7b,large
2417.540719,0.0947265625,1155.721867,1.538672411,qwen-1.7b,large
2440.547321,0.0947265625,1192.625142,1.128734736,qwen-1.7b,large
741.674639,0.02734375,1356.04561,1.738617626,qwen-1.7b,small
757.764024,0.02734375,1309.460687,0.681327103,qwen-1.7b,small
3302.513884,0.0947265625,1224.149598,4.359129342,qwen-1.7b,large
827.819772,0.02734375,1138.906758,1.812826928,qwen-1.7b,small
751.047862,0.0947265625,1302.055318,6.989875277,qwen-1.7b,large
1656.542464,0.0947265625,1340.201572,7.613124156,qwen-1.7b,large
2008.931168,0.0947265625,1325.605684,6.595911153,qwen-1.7b,large
1491.268974,0.0947265625,1336.611926,4.312469347,qwen-1.7b,large
130.172973,0.02734375,1267.983856,1.308708241,qwen-1.7b,small
1773.779328,0.0947265625,1264.149609,4.332352815,qwen-1.7b,large
128.466279,0.02734375,1170.525098,2.103189229,qwen-1.7b,small
1658.331485,0.0947265625,1260.657874,4.052885704,qwen-1.7b,large
1655.724678,0.0947265625,1228.477683,5.469681634,qwen-1.7b,large
1849.903083,0.0947265625,1344.388871,1.091013465,qwen-1.7b,large
2156.691606,0.0947265625,1263.986014,2.869197891,qwen-1.7b,large
