input_size_kb,memory_usage_mb,output_size_kb,model,prompt_size
0.0947265625,641.405086,2.975309523,gemma-1b,large
0.02734375,737.485682,1.656628472,gemma-1b,small
0.02734375,732.914052,2.889580855,gemma-1b,small
0.0947265625,735.936411,6.682388517,gemma-1b,large
0.0947265625,682.216609,6.486542491,gemma-1b,large
0.0947265625,748.484953,3.686830664,gemma-1b,large
0.0947265625,704.362407,4.081392986,gemma-1b,large
0.02734375,761.757313,0.325063896,gemma-1b,small
0.0947265625,714.06607,4.366810229,gemma-1b,large
0.0947265625,685.849343,2.439810835,gemma-1b,large
0.0947265625,690.25295,6.792765269,gemma-1b,large
0.0947265625,769.94813,6.697791887,gemma-1b,large
0.0947265625,672.712049,6.711628573,gemma-1b,large
0.0947265625,691.226734,5.453241553,gemma-1b,large
0.0947265625,704.518217,2.051183006,gemma-1b,large
0.02734375,721.686102,1.926512146,gemma-1b,small
0.0947265625,760.561842,2.572309283,gemma-1b,large
0.02734375,678.015667,2.620146209,gemma-1b,small
0.02734375,637.18371,0.231042409,gemma-1b,small
0.0947265625,657.418157,1.688769548,gemma-1b,large
0.0947265625,696.452318,6.495115807,gemma-1b,large
0.02734375,716.157113,2.41616759,gemma-1b,small
0.0947265625,696.730117,5.460410338,gemma-1b,large
0.02734375,663.039616,0.190604595,gemma-1b,small
0.0947265625,653.967885,3.139229508,gemma-1b,large
0.02734375,649.208303,0.656676876,gemma-1b,small
0.02734375,701.761377,0.408145235,gemma-1b,small
0.0947265625,705.699272,3.982583687,gemma-1b,large
0.0947265625,743.401605,4.207308207,gemma-1b,large
0.02734375,666.526763,0.557029611,gemma-1b,small
0.02734375,696.601803,2.970695152,gemma-1b,small
0.02734375,652.116438,2.667106538,gemma-1b,small
0.02734375,657.872256,1.975840178,gemma-1b,small
0.02734375,694.969934,2.568937643,gemma-1b,small
0.02734375,710.937179,1.70417383,gemma-1b,small
0.02734375,674.465658,3.301275471,gemma-1b,small
0.02734375,634.040258,2.22562428,gemma-1b,small
0.02734375,753.070575,2.281576036,gemma-1b,small
0.0947265625,756.697202,1.152763777,gemma-1b,large
0.0947265625,638.198341,1.438572424,gemma-1b,large
0.02734375,764.870085,1.784311047,gemma-1b,small
0.02734375,733.182097,1.81314486,gemma-1b,small
0.02734375,690.529867,1.762502908,gemma-1b,small
0.02734375,733.847251,1.966494638,gemma-1b,small
0.0947265625,661.512075,4.885594645,gemma-1b,large
0.0947265625,639.300853,1.593544112,gemma-1b,large
0.02734375,634.876566,0.976374196,gemma-1b,small
0.02734375,674.166068,1.32150582,gemma-1b,small
0.02734375,693.464107,1.003146584,gemma-1b,small
0.02734375,645.720539,0.889050042,gemma-1b,small
